artist,title,lyrics,description,release date,year
system of a down,b.y.o.b.,"
you
why do they always send the poor

barbarisms by barbaras with pointed heels
victorious victoria’s kneel for brand new spanking deals
marching forward hypocritic and hypnotic computers
you depend on our protection yet you feed us lies from the table cloth

la la la la la la la la la la oohooh
everybodys going to the party have a real good time
dancing in the desert blowing up the sunshine

kneeling roses disappearing into moses dry mouth
breaking into fort knox stealing our intentions
hangars sitting dripped in oil crying ""freedom""
handed to obsoletion still you feed us lies from the table cloth

la la la la la la la la la la oohooh
everybodys going to the party have a real good time
dancing in the desert blowing up the sunshine
everybodys going to the party have a real good time
dancing in the desert blowing up the sunshine
blast off its party time
and we dont live in a fascist nation
blast off its party time
and where the fuck are you

where the fuck are you
where the fuck are you
why dont presidents fight the war
why do they always send the poor
why dont presidents fight the war
why do they always send the poor
why do they always send the poor
why do they always send the poor
why they always send the poor

kneeling roses disappearing into moses dry mouth
breaking into fort knox stealing our intentions
hangars sitting dripped in oil crying ""freedom""
handed to obsoletion still you feed us lies from the table cloth

la la la la la la la la la la oohooh
everybodys going to the party have a real good time
dancing in the desert blowing up the sunshine
everybodys going to the party have a real good time
dancing in the desert blowing up the sun
where the fuck are you
where the fuck are you
why dont presidents fight the war
why do they always send the poor
why dont presidents fight the war
why do they always send the poor
why do they always send the poor
why do they always send the poor

why do they always send the poor
why do they always send the poor
why do they always send the poor
they always send the poor they always send the poor","“B.Y.O.B.” (“Bring Your Own Bombs”) is the first single released from American heavy metal band System of a Down’s fourth album Mezmerize.

Like their earlier song “Boom!,” it was written in protest against the Iraq War.

B.Y.O.B. means “Bring Your Own Bombs,” as opposed to the common interpretation “Bring Your Own Booze,” referring to the Iraq War as one big party for the United States, where instead of Jägerbombs they drop real ones.

It made onto numerous “Top 40” playlists around the globe, including Germany, New Zealand, Australia and the United States, and occasionally made it to #1 on other music shows.","March 29, 2005",2005
system of a down,aerials,"
life is a waterfall
were one in the river and one again after the fall
swimming through the void we hear the word
we lose ourselves but we find it all
cause we are the ones that wanna play
always wanna go but you never wanna stay
and we are the ones that wanna choose
always wanna play but you never wanna lose

aerials in the sky
when you lose small mind you free your life

life is a waterfall
we drink from the river then we turn around and put up our walls
swimming through the void we hear the word
we lose ourselves but we find it all
cause we are the ones that wanna play
always wanna go but you never wanna stay
and we are the ones that wanna choose
always wanna play but you never wanna lose oh

aerials in the sky
when you lose small mind you free your life
aerials so up high
when you free your eyes eternal prize
aerials in the sky
when you lose small mind you free your life
aerials so up high
when you free your eyes eternal prize
ah ah ah ah ah ah
ah ah ahah ahah ahahah
ah ah ah ah ah ah
ah ah ahah ahah ahah om","“Aerials” was released in June, 2002 as the third single from System of a Down’s second album Toxicity, which itself was released in September, 2001.  It was critically and commercially successful; the song was nominated for Best Hard Rock Performance at the 2003 Grammy Awards.

Although Daron Malakian said in some shows that “Aerials” doesn’t mean anything, the overall theme of the song is our mistaken views of ourselves as being individual and isolated from the rest and how we actually are a tiny part of something greater, from which we come when we are born, and to which we go when we die. It speaks of clinging to life and not accepting death, because we see death as an ending, not as another step of existence. When we die, our matter is decomposed and is transferred to things like worms that feed on us, to the atmosphere in the form of gas, and to the ground and plants that feed on him. We are always moving through the circle of existence, there is no stillness, only movement, and transformation.

On many CD issues, “Aerials” is listed as a single track with a length of 6:11. In reality, “Aerials” itself ends at around 3:54, while the rest of the length is taken up by a hidden track unofficially named “Arto.”","September 4, 2001",2001
the beatles,let it be,"
when i find myself in times of trouble mother mary comes to me
speaking words of wisdom ""let it be""
and in my hour of darkness she is standing right in front of me
speaking words of wisdom ""let it be""

let it be let it be let it be let it be
whisper words of wisdom let it be

and when the brokenhearted people living in the world agree
there will be an answer let it be
for though they may be parted there is still a chance that they will see
there will be an answer let it be

let it be let it be let it be let it be
yeah there will be an answer let it be
let it be let it be let it be let it be
whisper words of wisdom let it be

let it be let it be let it be yeah let it be
whisper words of wisdom let it be
and when the night is cloudy there is still a light that shines on me
shine on til tomorrow let it be
i wake up to the sound of music mother mary comes to me
speaking words of wisdom ""let it be""

let it be let it be let it be yeah let it be
oh there will be an answer let it be
let it be let it be let it be yeah let it be
oh there will be an answer let it be
let it be let it be let it be yeah let it be
whisper words of wisdom let it be","One of The Beatles' many iconic ballads, written by McCartney. The level of repetition in the lyrics suggests this song was written quickly and through emotional inspiration — similar patterns can be seen in songs like “Hey Jude”.","May 8, 1970",1970
the beatles,yesterday,"
yesterday
all my troubles seemed so far away
now it looks as though theyre here to stay
oh i believe in yesterday
suddenly
im not half the man i used to be
theres a shadow hanging over me
oh yesterday came suddenly

why she had to go i dont know she wouldnt say
i said something wrong now i long for yesterday

yesterday
love was such an easy game to play
now i need a place to hide away
oh i believe in yesterday

why she had to go i dont know she wouldnt say
i said something wrong now i long for yesterday

yesterday
love was such an easy game to play
now i need a place to hide away
oh i believe in yesterday
mmmmmmmmmmmmmmm hmmhmm","“Yesterday” is the most covered song in history, with over 2,000  versions having been recorded. A spare, haunting song of lost love from the early Beatles catalog, it was sung perfectly by a young Paul McCartney.

McCartney dreamed the entire melody before he arranged the music with George Martin. According to Rolling Stone:

‘It fell out of bed,’ Paul McCartney once said about the origins of ‘Yesterday.’ ‘I had a piano by my bedside, and I must have dreamed it, because I tumbled out of bed and put my hands on the piano keys and I had a tune in my head. It was just all there, a complete thing. I couldn’t believe it. It came too easy.’

The working lyrics Paul used to fit the tune before he wrote the actual words started with “Scrambled eggs / Oh my baby how I love your legs / Not as much as I love scrambled eggs.” Picking up on that famous trivia, Jimmy Fallon eventually developed the rest of “Scrambled eggs” and recorded it with Paul.","September 13, 1965",1965
the beatles,come together,"
shoot me
shoot me
shoot me
shoot me

here come old flattop he come groovin up slowly
he got juju eyeball he one holy roller
he got hair down to his knee
got to be a joker he just do what he please

shoot me
shoot me
shoot me
shoot me

he wear no shoeshine he got toejam football
he got monkey finger he shoot cocacola
he say ""i know you you know me""
one thing i can tell you is you got to be free

come together right now
over me
shoot me
shoot me
shoot me
shoot me

he bag production he got walrus gumboot
he got ono sideboard he one spinal cracker
he got feet down below his knee
hold you in his armchair you can feel his disease

come together right now
over me

shoot me
shoot me
right
come come come come

he rollercoaster he got early warnin
he got muddy water he one mojo filter
he say ""one and one and one is three""
got to be goodlookin cause hes so hard to see
come together right now
over me

shoot me
shoot me
shoot me
shoot me
ugh

come together yeah
come together yeah
come together yeah
come together yeah
come together yeah
come together yeah
come together yeah
come together yeah
come together yeah
come together","“Come Together” is the opening track to Abbey Road, written by John Lennon and to be used as a campaign song for famed LSD enthusiast Timothy Leary, who was running for Governor of California at the time.

It’s been suggested that each verse talks about one of the members of The Beatles or a self-portrait of Lennon himself. However, by his own admission, Lennon often simply filled his lyrics with non-sequiturs:

The thing was created in the studio. It’s gobbledygook; Come Together was an expression that Leary had come up with for his attempt at being president or whatever he wanted to be, and he asked me to write a campaign song. I tried and tried, but I couldn’t come up with one. But I came up with this, Come Together, which would’ve been no good to him – you couldn’t have a campaign song like that, right?

–John Lennon (from All We Are Saying by David Sheff)","September 26, 1969",1969
the beatles,hey jude,"
hey jude dont make it bad
take a sad song and make it better
remember to let her into your heart
then you can start to make it better

hey jude dont be afraid
you were made to go out and get her
the minute you let her under your skin
then you begin to make it better

and anytime you feel the pain hey jude refrain
dont carry the world upon your shoulders
for well you know that its a fool who plays it cool
by making his world a little colder
na na na na na na na na na na

hey jude dont let me down
you have found her now go and get her
(let it out and let it in)
remember (hey jude) to let her into your heart
then you can start to make it better
so let it out and let it in hey jude begin
youre waiting for someone to perform with
and dont you know that its just you hey jude youll do
the movement you need is on your shoulder
na na na na na na na na na yeah

hey jude dont make it bad
take a sad song and make it better
remember to let her under your skin
then youll begin to make it (whoa fucking hell)
better better better better better better oh

yeah yeah yeah yeah yeah yeah yeah
naa na na na na na na na na na na hey jude
naa na na na na na na na na na na hey jude
naa na na na na na na na na na na hey jude
naa na na na na na na na na na na hey jude
(jude judy judy judy judy judy ow wow)
naa na na na na na na (na na na) na na na na hey jude
(jude jude jude jude jude)
naa na na na na na na (yeah yeah yeah) na na na na hey jude
(you know you can make jude jude youre not gonna break it)
naa na (dont make it bad jude) na na na na na (take a sad song and make it better) na na na na hey jude
hey jude hey jude wow
naa na na na na na na na na na na hey jude
naa na na na na na na na na na na hey jude
jude jude jude jude jude jude
naa na na na na na na na na na na hey jude
naa na na na na na na na na na na hey jude
(na na na na na na na na na na na na)
naa na na na na na na na na na na hey jude
naa na na na na na na na na na na hey jude
naa na na na na na na (make it jude) na na na na hey jude
(yeah yeah yeah yeah yeah yeah yeah)
naa na na na na na na na na na na hey jude
(go listen to ya ma ma ma ma ma ma ma ma)
naa na na na na na na na na na na hey jude
naa na na na na na na na na na na hey jude","Originally titled “Hey Jules,” named after John Lennon’s son Julian, this song was written by Paul McCartney to comfort him during John and Cynthia’s divorce. John Lennon stated that he thought the song was written as a form of blessing from Paul McCartney for his and Yoko’s relationship. They were touched by McCartney’s act and Cynthia said she would always remember his “gesture of care and concern in coming to see us.”



While it was being recorded, producer George Martin voiced his discontent with the abnormal song length. Coming in at over seven minutes long–with four of those minutes comprising the outro–Martin expressed the opinion that radio DJs would not play the song. Lennon responded with: “They will if it’s us.”

Once released, the song performed absolutely fantastically. With its seven-minute runtime, it became the longest single to top the British music charts in its day. In the United States, the song spent nine weeks at #1, making it the best-performing Beatles single. Additionally, at the time it tied for the record of longest-sitting chart-topping single.

The reaction to the song did not wane. It stayed as The Beatles' best performing U.S. single and is considered by many music critics as being one of the best songs of all time. Rolling Stone lists it at #8. It sits at #10 on Billboard’s 55th Anniversary countdown. In addition, the song is the most referenced musical performance.","August 26, 1968",1968
the rolling stones,sympathy for the devil,"
yowyowyow
huh huh huh

please allow me to introduce myself
im a man of wealth and taste
ive been around for a long long year
stole many a mans soul and faith
i was round when jesus christ
had his moment of doubt and pain
made damn sure that pilate
washed his hands and sealed his fate

pleased to meet you hope you guess my name
but whats puzzling you is the nature of my game

i stuck around st petersburg
when i saw it was a time for a change
killed the czar and his ministers
anastasia screamed in vain
i rode a tank held a generals rank
when the blitzkrieg raged and the bodies stank
pleased to meet you hope you guess my name oh yeah
but whats puzzling you is the nature of my game ah yeah

i watched with glee while your kings and queens
fought for ten decades for the gods they made
i shouted out ""who killed the kennedys""
well after all it was you and me
let me please introduce myself
im a man of wealth and taste
and i laid traps for troubadours
who get killed before they reach bombay

pleased to meet you hope you guess my name oh yeah
but whats puzzling you is the nature of my game ah yeah
oh yeah get down heavy


pleased to meet you hope you guess my name oh yeah
but whats confusin you is just the nature of my game mm yeah
just as every cop is a criminal
and all the sinners saints
as heads is tails just call me lucifer
cause im in need of some restraint
so if you meet me have some courtesy
have some sympathy and some taste
use all your welllearned politesse
or ill lay your soul to waste mm yeah

pleased to meet you hope you guessed my name mm yeah
but whats puzzling you is the nature of my game mmm mean it
get down
woo hoo
ah yeah get on down
oh yeah
ba bum bum ba ba bum
ah yeah
tell me baby whats my name
tell me honey can you guess my name
tell me baby whats my name
ill tell you one time youre to blame
ooo hoo ooo hoo oooo hoo
all right
ooo hoo hoo ooo hoo hoo ooo hoo hoo
ah yeah
ooo hoo hoo ooo hoo hoo
ah yes whats my name
tell me baby ah whats my name
tell me sweetie whats my name
ooo hoo hoo ooo hoo hoo ooo hoo hoo ooo hoo hoo
ooo hoo hoo ooo hoo hoo ooo hoo hoo
ah yeah
whats my name","This song is sung in first person form, with Mick Jagger playing no one else but Satan himself. He documents events through history that could be seen as “works of the devil.” The Rolling Stones took some serious heat for singing a song from the devil’s perspective, but the point of the song is more about the flaws in mankind. It was never intended as devil worship.

There was a rumor that this song was playing when a fan died at the Rolling Stones gig at the Altamont Free Concert, but it was actually “Under My Thumb.” Despite that, the Stones didn’t perform this song for at least 5 years (as they played it on tour in 1975) after the incident.

These lyrics were inspired by the book “The Master and Margarita” written by Mikhail Bulgakov. In this book Devil (and his ‘gang’) roam around Moscow in the 1930s and play tricks on stupid/greedy people.","February 1, 1969",1969
the rolling stones,"paint it, black","
i see a red door and i want it painted black
no colours anymore i want them to turn black
i see the girls walk by dressed in their summer clothes
i have to turn my head until my darkness goes

i see a line of cars and theyre all painted black
with flowers and my love both never to come back
i see people turn their heads and quickly look away
like a newborn baby it just happens every day

i look inside myself and see my heart is black
i see my red door i must have it painted black
maybe then ill fade away and not have to face the facts
its not easy facing up when your whole world is black

no more will my green sea go turn a deeper blue
i could not foresee this thing happening to you
if i look hard enough into the setting sun
my love will laugh with me before the morning comes

i see a red door and i want it painted black
no colours anymore i want them to turn black
i see the girls walk by dressed in their summer clothes
i have to turn my head until my darkness goes
i wanna see your face painted black
black as night black as coal
i wanna see the sun blotted out from the sky
i wanna see it painted painted painted painted black
yeah","From their 4th album, Aftermath. Per pophistorydig, the song is about the funeral of a girl from her lover’s viewpoint, and he wants the color of everything to match his mood.



What’s with the comma in the title? Maybe they are saying “paint it, black!” like “hey, Mr. Black, please paint my door!” It was the record company’s idea to add the comma. Most compilations and internet radio stations remove the comma.
A cover of the music was used in the “Westworld” series aired on HBO directed by Jonathan Nolan and Lisa Joy.","May 13, 1966",1966
the rolling stones,brown sugar,"
gold coast slave ship bound for cotton fields
sold in the market down in new orleans
scarred old slaver knows hes doing alright
hear him whip the women just around midnight

brown sugar how come you taste so good uh huh
brown sugar just like a young girl should uh huh oh (woo)

drums beating cold english blood runs hot
lady of the house wonderin when its gonna stop
house boy knows that hes doing alright
you shoulda heard em just around midnight

brown sugar how come you taste so good now
brown sugar just like a young girl should now (yeah)

ah get on brown sugar how come you taste so good
ah got me craving the the brown sugar
just like a black girl should yeah

ah and i bet your mama was a tent show queen
and all her boyfriends were sweet sixteen
im no schoolboy but i know what i like
you shoulda heard me just around midnight
brown sugar how come you taste so good baby
ah come down brown sugar
just like a young girl should yeah

i said yeah yeah yeah woo
how come you how come you taste so good
yeah yeah yeah woo
just like a just like a black girl should
yeah yeah yeah woo","Recorded in 1969 in Muscle Shoals studios, Jagger wrote the riff to this one while filming Ned Kelly in Australia. The song appeared on Sticky Fingers and is a staple of the Stones' canon.

Keith Richards, in his book Life on Jagger’s lyrics writing process:

They started running down Brown Sugar the first night, but they didn’t get a take. I watched Mick write the lyrics. It took him maybe forty-five minutes; it was disgusting. He wrote it down as fast as he could move his hand. I’d never seen anything like it. He had one of those yellow legal pads, and he’d write a verse a page, just write a verse and then turn the page, and when he had three pages filled, they started to cut it. It was amazing!""

The song is thought to have been inspired by soul singer Claudia Lennear, who was also the inspiration behind David Bowie’s “Lady Grinning Soul”.

There are several different ways to interpret this song. The most straightforward is a meditation on white male on black female sex  and how power has influenced it. Alternatively it could be more generally about interracial sex or black sex. Finally, as meta-fiction: Mick Jagger plunders the musical history of black people from slave rhythms, to spirituals, to blues, to honky tonk. And further is willing to proudly crow about how tempting and good they are.

The first reading is probably what was intended, but given the rollicking rock, the final is not inappropriate whether intended or not.","April 16, 1971",1971
the rolling stones,gimme shelter,"
ooh
ooh
ooh

ooh a storm is threatning
my very life today
if i dont get some shelter
ooh yeah im gonna fade away

war children
its just a shot away its just a shot away
war children
its just a shot away its just a shot away yeah

ooh see the fire is sweeping
our very street today
burns like a redcoal carpet
mad bull lost your way

war children yeah
its just a shot away its just a shot away
war childrenyeah
its just a shot away its just a shot away

hey hey

rape murder
its just a shot away its just a shot away
rape murder yeah
its just a shot away its just a shot away
rape murder (woo)
its just a shot away its just a shot away
yeah

mmm the flood is threatning
my very life today
gimme gimme shelter
or im going to fade away

war children
its just a shot away its just a shot away
its just a shot away its just a shot away
its just a shot away

i tell you love sister
its just a kiss away its just a kiss away
its just a kiss away its just a kiss away
its just a kiss away (kiss away kiss away)
","“Gimme Shelter” is the opening track of the Rolling Stones’s 1969 album Let It Bleed (where it was actually spelled “Gimmie Shelter”, but the more accurate spelling was adopted afterwards).

It paints a bleak world view inspired by the Vietnam war, as put by Mick Jagger:

“Well, it’s a very rough, very violent era. The Vietnam War. Violence on the screens, pillage and burning. And Vietnam was not war as we knew it in the conventional sense. The thing about Vietnam was that it wasn’t like World War II, and it wasn’t like Korea, and it wasn’t like the Gulf War. It was a real nasty war, and people didn’t like it. People objected, and people didn’t want to fight it…” As for the song itself, he concluded, “That’s a kind of end-of-the-world song, really. It’s apocalypse; the whole record’s like that.”

However, the song’s inspiration was not Vietnam or social unrest, but Keith Richards seeing people scurrying for shelter from a sudden London rainstorm.
“I had been sitting by the window of my friend Robert Fraser’s apartment on Mount Street in London with an acoustic guitar when suddenly the sky went completely black and an incredible monsoon came down. It was just people running about looking for shelter — that was the germ of the idea. We went further into it until it became, you know, rape and murder are ‘just a shot away’.”

The female vocals were sung by session singer Merry Clayton. Jagger explained in the 2003 book According To… The Rolling Stones:

The use of the female voice was producer Jimmy Miller’s idea. It would be one of those moments along the lines of ‘I hear a girl on this track – get one on the phone.’ Clayton, pregnant at the time, reportedly suffered a miscarriage soon after the session.

On the 1969, 1972 and 1975 U.S. tours as a straight ahead hard rock song without female accompaniment, it didn’t return to the setlist until 1989 when Clayton’s vocal turn usually went to Lisa Fischer. The 50th anniversary tour had some special appearances by Lady Gaga (New Jersey), Florence Welch (London) and Mary J. Blige (also London ). Grace Potter also had the honors in 2015.

U.S. President Barack Obama told Rolling Stone in an interview while campaigning for his first term that the Stones were one his musical heroes (along with Stevie Wonder) and “Gimme Shelter” was his favourite Stones song.

Gimme Shelter* is also the title to the Maysles brothers' 1970 documentary film of the Stones' 1969 U.S. tour climaxing with the infamous Altamont concert near San Francisco.","December 5, 1969",1969
the doors,the end,"

this is the end
beautiful friend
this is the end
my only friend the end

of our elaborate plans the end
of everything that stands the end
no safety or surprise the end
ill never look into your eyes again

can you picture what will be
so limitless and free
desperately in need
of some strangers hand
in a desperate land

lost in a roman wilderness of pain
and all the children are insane
all the children are insane
waiting for the summer rain yeah
theres danger on the edge of town
ride the kings highway baby
weird scenes inside the gold mine
ride the highway west baby
ride the snake ride the snake
to the lake the ancient lake baby
the snake hes long seven miles
ride the snake
hes old and his skin is cold
the west is the best
the west is the best
get here and well do the rest
the blue bus is calling us
the blue bus is calling us
driver where you taking us

the killer awoke before dawn
he put his boots on
he took a face from the ancient gallery
and he walked on down the hall
he went into the room where his sister lived and then he
paid a visit to his brother and then he
he walked on down the hall and
and he came to a door
and he looked inside
""father"" ""yes son"" ""i want to kill you""
""mother i want to""
come on baby take a chance with us
come on baby take a chance with us
come on baby take a chance with us
and meet me at the back of the blue bus
doin a blue rug on a blue bus doin a
come on yeah
fuck fuckah yeah
fuck fuck
fuck fuck
fuck fuck fuck yeah
come on baby come on
fuck me baby fuck yeah
woah
fuck fuck fuck yeah
fuck yeah come on baby
fuck me baby fuck fuck
woah woah woah yeah
fuck yeah do it yeah
come on
huh huh huh huh yeah
alright
kill kill kill kill kill kill

this is the end
beautiful friend
this is the end
my only friend the end
it hurts to set you free
but youll never follow me
the end of laughter and soft lies
the end of nights we tried to die
this is the end","“The End” served as the finale for many of The Doors' most notable concerts. The lyrics are a combination of different variations sung during jam-style performances over several months at the Whiskey A Go Go nightclub in Los Angeles in 1966.

The song was famously used in the iconic opening scene of Francis Ford Coppola’s 1979 film Apocalypse Now, with images of the Vietnam War to the cinematic battle towards the end of the movie between Willard (Martin Sheen’s character) and Kurtz (Marlon Brando’s character).

In a 1969 interview with Rolling Stone, Morrison said the song means something different every time he listened to it:

It started out as a simple good-bye song… Probably just to a girl, but I see how it could be a goodbye to a kind of childhood. I really don’t know. I think it’s sufficiently complex and universal in its imagery that it could be almost anything you want it to be.

Several musical influences are apparent in Robby Krieger’s composition of this song, including Chopin’s “Funeral March.”","January 4, 1967",1967
the doors,riders on the storm,"
riders on the storm
riders on the storm
into this house were born
into this world were thrown
like a dog without a bone an actor out on loan
riders on the storm

theres a killer on the road
his brain is squirmin like a toad
take a long holiday
let your children play
if you give this man a ride sweet family will die
killer on the road yeah

girl you gotta love your man
girl you gotta love your man
take him by the hand
make him understand
the world on you depends our life will never end
gotta love your man yeah

riders on the storm
riders on the storm
into this house were born
into this world were thrown
like a dog without a bone an actor out on loan
riders on the storm
riders on the storm
riders on the storm
riders on the storm
riders on the storm","This was the last song Jim Morrison recorded. He went to France and died a few weeks later. The single was released in June, 1971, shortly before Morrison’s death.

This evolved out of a jam session when the band was messing around with “Ghost Riders In The Sky,” a cowboy song by Stan Jones. It was Jim Morrison’s idea to alter the title to “Riders On The Storm.”

Ray Manzarek used the electric piano to create the effect of rain.

If you listen closely, you can hear Jim Morrison whispering the lyrics over his own singing, which causes a kind of creepy effect.

This was Morrison’s final contribution as a rock star. Ray Manzarek told Uncut magazine September 2011: “There’s a whisper voice on ‘Riders on the Storm,’ if you listen closely, a whispered overdub that Jim adds beneath his vocal. That’s the last thing he ever did. An ephemeral, whispered overdub.”

The single was shortened for radio play. Some of the piano solo was cut out.

Snoop Dogg covered the song for the 2004 game, Need for Speed: Underground 2, in a remixed version produced by Fredwreck. The cover was dubbed over the original track.

https://www.youtube.com/watch?v=L_ApzhHYIgU","June 1, 1971",1971
the doors,light my fire,"
you know that it would be untrue
you know that i would be a liar
if i was to say to you
girl we couldnt get much higher

come on baby light my fire
come on baby light my fire
try to set the night on fire

the time to hesitate is through
no time to wallow in the mire
try now we can only lose
and our love become a funeral pyre

come on baby light my fire
come on baby light my fire
try to set the night on fire
yeah

the time to hesitate is through
no time to wallow in the mire
try now we can only lose
and our love become a funeral pyre

come on baby light my fire
come on baby light my fire
try to set the night on fire
yeah

you know that it would be untrue
you know that i would be a liar
if i was to say to you
girl we couldnt get much higher

come on baby light my fire
come on baby light my fire
try to set the night on fire
try to set the night on fire
try to set the night on fire
try to set the night on fire
","One of the Doors first songs, written primarily by the band’s guitarist, Robby Krieger, (who also wrote three other big hits – “Touch Me”, “Love Me Two Times” and “Love Her Madly”).

Light My Fire was their first top charting hit, succeeding first as an LP track, then shortened by more than 4 minutes, and issued as a single. The song is consistently featured in various “greatest songs ever” lists, landing #35 on Rolling Stone’s list of the 500 Greatest Songs of All Time.

The song perfectly combines Jim Morrison’s powerful voice with Robby Krieger’s guitar playing, and Ray Manzarek’s iconic organ riff and solo.

Ray Manzarek said in an interview with NPR about the song, but it was true for the whole album:

We were aware of Muddy Waters. We were aware of Howlin' Wolf and John Coltrane and Miles Davis. Plus, Jan and Dean and The Beach Boys and the surf sound. Robby Krieger brings in some flamenco guitar. I bring a little bit of classical music along with the blues and jazz, and certainly John Densmore was heavy into jazz. And Jim brings in beatnik poetry and French symbolist poetry, and that’s the blend of The Doors as the sun is setting into the Pacific Ocean at the end, the terminus of Western civilization. That’s the end of it. Western civilization ends here in California at Venice Beach, so we stood there inventing a new world on psychedelics.","April 1, 1967",1967
the doors,people are strange,"
people are strange when youre a stranger
faces look ugly when youre alone
women seem wicked when youre unwanted
streets are uneven when youre down

when youre strange
faces come out of the rain
when youre strange
no one remembers your name
when youre strange
when youre strange
when youre strange

people are strange when youre a stranger
faces look ugly when youre alone
women seem wicked when youre unwanted
streets are uneven when youre down

when youre strange
faces come out of the rain
when youre strange
no one remembers your name
when youre strange
when youre strange
when youre strange
alright yeah
when youre strange
faces come out of the rain
when youre strange
no one remembers your name
when youre strange
when youre strange
when youre strange","In early 1967, Jim Morrison was exhibiting symptoms of depression. At the behest of guitarist Robby Krieger, they hiked Laurel Canyon to watch the sunset, at which time Morrison came up with the lyrics for “People Are Strange,” a song about alienation.

Drummer John Densmore recalled the moment in his 1991 biography, Riders on the Storm: My Life with Jim Morrison and The Doors:

[Morrison said] ‘Yeah, I feel really good about this one. It just came to me all of a sudden […] in a flash—as I was sitting up there on the ridge looking out over the city.’ His eyes were wild with excitement. ‘I scribbled it down as fast as I could. It felt great to be writing again.’ He looked down at the crumpled paper in his hand and sang the chorus in his haunting blues voice.

Morrison and Krieger are credited with writing the song. It reached #12 on the Billboard Hot 100 in October 1967.","September 1, 1967",1967
pink floyd,wish you were here,"
and disciplinary remains mercifully
yes and um i’m with you derek this star nonsense
yes yes now which is it
i am sure of it

so so you think you can tell
heaven from hell blue skies from pain
can you tell a green field from a cold steel rail
a smile from a veil do you think you can tell
did they get you to trade your heroes for ghosts
hot ashes for trees hot air for a cool breeze
cold comfort for change did you exchange
a walkon part in the war
for a lead role in a cage


how i wish how i wish you were here
were just two lost souls swimming in a fishbowl year after year
running over the same old ground what have we found
the same old fears wish you were here
","“Wish You Were Here” is the title track on Pink Floyd’s 1975 album. The song’s lyrics encompass writer Roger Waters‘ feelings of alienation from other people, drawing particular inspiration from his old friend Syd Barrett, the founder of Pink Floyd  who left the band due to mental health issues. The song forms part of a concept album focusing on absence and disenchantment with the music industry. The song “Shine on you Crazy Diamond (Parts 1-9)” was already an homage to Syd, while this one also grieves his absence. The other two songs on the album (“Welcome to the Machine” and “Have a Cigar”) express the band’s newfound distaste for the pressures of the music industry, pressures that they feel helped cause Syd to crack, thus tying the album together as a coherent piece.  David Gilmour and Roger Waters collaborated to write the music.

This was a rare case of the Pink Floyd primary songwriters Roger Waters and David Gilmour mutually collaborating on a song – they rarely wrote together. Gilmour had the opening riff written and was playing it in the studio at a fast pace when Roger Waters heard it and asked him to play it slower. The song built from there, with the pair writing the music for the chorus and verses together, and Waters adding the lyrics.

The song reflected the feeling of the band while they were recording the album. Waters felt they were not putting a full effort into the recording sessions.

When this song starts, it sounds like it is coming from an AM radio somewhere in the distance. It represents the distance between the listener and the music.

At 42 seconds, you can also hear Richard Wright cough. When he heard the song later, it inspired him to quit smoking.

While not a single upon release, it earned this status with a version recorded on the live album Pulse, where the cover depicted two lost souls staring into fish bowls.","September 12, 1975",1975
pink floyd,time,"
ticking away the moments that make up a dull day
fritter and waste the hours in an offhand way
kicking around on a piece of ground in your hometown
waiting for someone or something to show you the way
tired of lying in the sunshine staying home to watch the rain
you are young and life is long and there is time to kill today
and then one day you find ten years have got behind you
no one told you when to run you missed the starting gun

and you run and you run to catch up with the sun but its sinking
racing around to come up behind you again
the sun is the same in a relative way but youre older
shorter of breath and one day closer to death
every year is getting shorter never seem to find the time
plans that either come to naught or half a page of scribbled lines
hanging on in quiet desperation is the english way
the time is gone the song is over thought id something more to say

home home again
i like to be here when i can
and when i come home cold and tired
its good to warm my bones beside the fire
far away across the field
the tolling of the iron bell
calls the faithful to their knees
to hear the softly spoken magic spells","This is the only track on the album that credits all 4 members of the band. It’s about how time can slip by, but many people do not realize it until it is too late. Roger Waters got the idea when he realized he was no longer preparing for anything in life, but was right in the middle of it at the age of 29.

The idea in “Time” is a similar exhortation to “Breathe.” To be here now, this is it. Make the most of it.

—Roger Waters

Doris Troy, Lesley Duncan, Liza Strike, and Barry St John sang on backing vocals, which were processed through an early pitch-changing device called a Frequency Translator.

Ian Emes commissioned this animated film that was projected during live performances of the song.

https://www.youtube.com/watch?v=PsxkBbkOQWA","March 1, 1973",1973
